,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
0,Finland,2018,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,0
1,Norway,2018,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,0
2,Denmark,2018,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,0
3,Iceland,2018,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,0
4,Switzerland,2018,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,0
5,Netherlands,2018,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,0
6,Canada,2018,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,0
7,New Zealand,2018,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,0
8,Sweden,2018,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,0
9,Australia,2018,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,0
10,United Kingdom,2018,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,0
11,Austria,2018,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,0
12,Costa Rica,2018,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,0
13,Ireland,2018,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,0
14,Germany,2018,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,0
15,Belgium,2018,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,0
16,Luxembourg,2018,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,0
17,United States,2018,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,0
18,Israel,2018,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,0
19,United Arab Emirates,2018,20,6.774,2.096,0.776,0.67,0.284,,0.186,0
20,Czech Republic,2018,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,0
21,Malta,2018,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,0
22,France,2018,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,0
23,Mexico,2018,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,0
24,Chile,2018,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,0
25,Taiwan,2018,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,0
26,Panama,2018,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,0
27,Brazil,2018,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,0
28,Argentina,2018,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,0
29,Guatemala,2018,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,0
30,Uruguay,2018,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,0
31,Qatar,2018,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,0
32,Saudi Arabia,2018,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,0
33,Singapore,2018,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,0
34,Malaysia,2018,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,0
35,Spain,2018,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,0
36,Colombia,2018,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,0
