,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
37,Trinidad & Tobago,2018,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171,0
38,Slovakia,2018,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,0
39,El Salvador,2018,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,0
40,Nicaragua,2018,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,0
41,Poland,2018,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,0
42,Bahrain,2018,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,0
43,Uzbekistan,2018,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,0
44,Kuwait,2018,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,0
45,Thailand,2018,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,0
46,Italy,2018,47,6.0,1.264,1.501,0.946,0.281,0.028,0.137,0
47,Ecuador,2018,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,0
48,Belize,2018,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,0
49,Lithuania,2018,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,0
50,Slovenia,2018,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16,0
51,Romania,2018,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,0
52,Latvia,2018,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,0
53,Japan,2018,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,0
54,Mauritius,2018,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245,0
55,Jamaica,2018,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,0
56,South Korea,2018,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,0
57,Northern Cyprus,2018,58,5.835,1.229,1.211,0.909,0.495,0.154,0.179,0
58,Russia,2018,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065,0
59,Kazakhstan,2018,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,0
60,Cyprus,2018,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,0
61,Bolivia,2018,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,0
62,Estonia,2018,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,0
63,Paraguay,2018,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162,0
64,Peru,2018,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092,0
65,Kosovo,2018,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274,0
66,Moldova,2018,67,5.64,0.657,1.301,0.62,0.232,0.0,0.171,0
67,Turkmenistan,2018,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199,0
68,Hungary,2018,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,0
69,Libya,2018,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116,0
70,Philippines,2018,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12,0
71,Honduras,2018,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,0
72,Belarus,2018,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,0
73,Turkey,2018,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106,0
74,Pakistan,2018,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216,0
75,Hong Kong,2018,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246,0
76,Portugal,2018,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055,0
77,Serbia,2018,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134,0
78,Greece,2018,79,5.358,1.154,1.202,0.879,0.131,0.044,0.0,0
79,Lebanon,2018,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,0
80,Montenegro,2018,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111,0
81,Croatia,2018,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,0
82,Dominican Republic,2018,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,0
83,Algeria,2018,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,0
84,Morocco,2018,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026,0
85,China,2018,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,0
86,Azerbaijan,2018,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,0
87,Tajikistan,2018,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,0
88,Macedonia,2018,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173,0
89,Jordan,2018,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,0
90,Nigeria,2018,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201,0
91,Kyrgyzstan,2018,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,0
92,Bosnia and Herzegovina,2018,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216,0
93,Mongolia,2018,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253,0
94,Vietnam,2018,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177,0
95,Indonesia,2018,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484,0
96,Bhutan,2018,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,0
97,Somalia,2018,98,4.982,0.0,0.712,0.115,0.674,0.282,0.238,0
98,Cameroon,2018,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,0
99,Bulgaria,2018,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,0
100,Nepal,2018,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,0
101,Venezuela,2018,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056,0
102,Gabon,2018,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032,0
103,Palestinian Territories,2018,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,0
104,South Africa,2018,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,0
105,Iran,2018,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,0
106,Ivory Coast,2018,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146,0
107,Ghana,2018,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,0
108,Senegal,2018,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138,0
109,Laos,2018,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,0
110,Tunisia,2018,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04,0
111,Albania,2018,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,0
112,Sierra Leone,2018,113,4.571,0.256,0.813,0.0,0.355,0.053,0.238,0
113,Congo (Brazzaville),2018,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,0
114,Bangladesh,2018,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,0
115,Sri Lanka,2018,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307,0
116,Iraq,2018,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,0
117,Mali,2018,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139,0
118,Namibia,2018,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051,0
119,Cambodia,2018,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,0
120,Burkina Faso,2018,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,0
121,Egypt,2018,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,0
122,Mozambique,2018,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206,0
123,Kenya,2018,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,0
124,Zambia,2018,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221,0
125,Mauritania,2018,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,0
126,Ethiopia,2018,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,0
127,Georgia,2018,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,0
128,Armenia,2018,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,0
129,Myanmar,2018,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598,0
130,Chad,2018,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,0
131,Congo (Kinshasa),2018,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,0
132,India,2018,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,0
133,Niger,2018,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175,0
134,Uganda,2018,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259,0
135,Benin,2018,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,0
136,Sudan,2018,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134,0
137,Ukraine,2018,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187,0
138,Togo,2018,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158,0
139,Guinea,2018,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185,0
140,Lesotho,2018,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116,0
141,Angola,2018,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079,0
142,Madagascar,2018,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155,0
143,Zimbabwe,2018,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132,0
144,Afghanistan,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,0
145,Botswana,2018,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,0
146,Malawi,2018,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21,0
147,Haiti,2018,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,0
148,Liberia,2018,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,0
149,Syria,2018,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376,0
150,Rwanda,2018,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2,0
151,Yemen,2018,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083,0
152,Tanzania,2018,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27,0
153,South Sudan,2018,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224,0
154,Central African Republic,2018,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218,0
155,Burundi,2018,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,0
