,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
35,Mexico,2021,36,6.317,1.126,0.83,0.634,0.585,0.089,0.092,2.961
36,Jamaica,2021,37,6.309,0.891,0.932,0.599,0.618,0.035,0.099,3.135
37,Lithuania,2021,38,6.255,1.35,1.065,0.612,0.476,0.073,0.056,2.624
38,Cyprus,2021,39,6.223,1.377,0.765,0.801,0.464,0.061,0.178,2.578
39,Estonia,2021,40,6.189,1.344,1.079,0.64,0.641,0.263,0.119,2.103
40,Panama,2021,41,6.18,1.298,0.976,0.667,0.596,0.053,0.079,2.509
41,Uzbekistan,2021,42,6.179,0.769,1.027,0.528,0.716,0.271,0.391,2.477
42,Chile,2021,43,6.172,1.2,0.946,0.678,0.438,0.07,0.159,2.682
43,Poland,2021,44,6.166,1.309,0.982,0.668,0.558,0.13,0.08,2.438
44,Kazakhstan,2021,45,6.152,1.23,1.103,0.527,0.573,0.132,0.143,2.446
45,Romania,2021,46,6.14,1.275,0.832,0.595,0.564,0.001,0.045,2.83
46,Kuwait,2021,47,6.106,1.461,0.857,0.58,0.591,0.13,0.12,2.368
47,Serbia,2021,48,6.078,1.101,0.924,0.634,0.482,0.066,0.189,2.682
48,El Salvador,2021,49,6.061,0.845,0.675,0.565,0.615,0.16,0.116,3.085
49,Mauritius,2021,50,6.049,1.178,0.996,0.574,0.59,0.096,0.153,2.462
50,Latvia,2021,51,6.032,1.285,1.047,0.587,0.405,0.089,0.082,2.536
51,Colombia,2021,52,6.012,1.021,0.866,0.615,0.554,0.063,0.1,2.794
52,Hungary,2021,53,5.992,1.301,1.083,0.615,0.454,0.04,0.067,2.432
53,Thailand,2021,54,5.985,1.107,0.957,0.596,0.611,0.028,0.375,2.309
54,Nicaragua,2021,55,5.972,0.693,0.904,0.604,0.553,0.176,0.201,2.841
55,Japan,2021,56,5.94,1.389,0.949,0.838,0.504,0.192,0.02,2.048
56,Argentina,2021,57,5.929,1.162,0.98,0.646,0.544,0.067,0.069,2.461
57,Portugal,2021,57,5.929,1.323,0.939,0.76,0.621,0.033,0.029,2.225
58,Honduras,2021,59,5.919,0.703,0.787,0.593,0.578,0.083,0.241,2.934
59,Croatia,2021,60,5.882,1.251,1.039,0.703,0.453,0.0,0.111,2.325
60,Philippines,2021,61,5.88,0.853,0.828,0.426,0.651,0.126,0.125,2.872
61,South Korea,2021,62,5.845,1.403,0.758,0.801,0.353,0.135,0.134,2.262
62,Peru,2021,63,5.84,0.986,0.833,0.623,0.536,0.031,0.087,2.744
63,Bosnia and Herzegovina,2021,64,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2.583
64,Moldova,2021,65,5.766,0.985,0.888,0.542,0.536,0.013,0.137,2.665
65,Ecuador,2021,66,5.764,0.935,0.806,0.64,0.56,0.062,0.107,2.653
66,Kyrgyzstan,2021,67,5.744,0.665,0.971,0.501,0.673,0.02,0.266,2.648
67,Greece,2021,68,5.723,1.273,0.811,0.76,0.243,0.074,0.0,2.561
68,Bolivia,2021,69,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2.805
69,Mongolia,2021,70,5.677,0.966,1.065,0.442,0.397,0.053,0.263,2.492
70,Paraguay,2021,71,5.653,0.983,0.97,0.549,0.602,0.037,0.206,2.306
71,Montenegro,2021,72,5.581,1.155,0.891,0.637,0.397,0.081,0.166,2.254
72,Dominican Republic,2021,73,5.545,1.106,0.879,0.555,0.581,0.144,0.101,2.178
73,North Cyprus,2021,74,5.536,1.377,0.806,0.801,0.503,0.2,0.196,1.653
74,Belarus,2021,75,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2.247
75,Russia,2021,76,5.477,1.241,0.992,0.511,0.409,0.06,0.115,2.148
76,Hong Kong S.A.R. of China,2021,76,5.477,1.525,0.841,0.893,0.408,0.342,0.232,1.236
77,Tajikistan,2021,78,5.466,0.508,0.895,0.498,0.548,0.247,0.152,2.619
78,Vietnam,2021,79,5.411,0.817,0.873,0.616,0.679,0.091,0.124,2.211
79,Libya,2021,80,5.41,1.044,0.821,0.435,0.474,0.174,0.131,2.331
80,Malaysia,2021,81,5.384,1.259,0.797,0.587,0.624,0.064,0.27,1.784
81,Indonesia,2021,82,5.345,0.954,0.786,0.433,0.598,0.046,0.541,1.987
82,Congo (Brazzaville),2021,83,5.342,0.518,0.392,0.307,0.381,0.124,0.144,3.476
83,China,2021,84,5.339,1.061,0.785,0.665,0.636,0.117,0.093,1.982
84,Ivory Coast,2021,85,5.306,0.669,0.409,0.052,0.438,0.092,0.177,3.469
85,Armenia,2021,86,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2.127
86,Nepal,2021,87,5.269,0.519,0.702,0.496,0.488,0.135,0.287,2.642
87,Bulgaria,2021,88,5.266,1.181,1.055,0.583,0.494,0.005,0.125,1.823
88,Maldives,2021,89,5.198,1.115,1.015,0.697,0.575,0.073,0.204,1.52
89,Azerbaijan,2021,90,5.171,1.025,0.841,0.541,0.526,0.276,0.043,1.919
90,Cameroon,2021,91,5.142,0.543,0.556,0.159,0.425,0.058,0.205,3.195
91,Senegal,2021,92,5.132,0.518,0.558,0.357,0.381,0.088,0.158,3.071
92,Albania,2021,93,5.117,1.008,0.529,0.646,0.491,0.024,0.168,2.25
93,North Macedonia,2021,94,5.101,1.068,0.772,0.535,0.45,0.022,0.212,2.042
94,Ghana,2021,95,5.088,0.68,0.595,0.287,0.517,0.058,0.268,2.684
95,Niger,2021,96,5.074,0.162,0.402,0.167,0.516,0.157,0.2,3.47
96,Turkmenistan,2021,97,5.066,1.046,1.172,0.439,0.602,0.033,0.366,1.409
97,Gambia,2021,98,5.051,0.367,0.511,0.21,0.384,0.123,0.465,2.99
98,Benin,2021,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166,3.482
99,Laos,2021,100,5.03,0.808,0.598,0.33,0.643,0.179,0.268,2.204
100,Bangladesh,2021,101,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2.427
101,Guinea,2021,102,4.984,0.42,0.399,0.206,0.384,0.111,0.25,3.216
102,South Africa,2021,103,4.956,0.967,0.895,0.265,0.447,0.051,0.144,2.187
103,Turkey,2021,104,4.948,1.26,0.809,0.59,0.236,0.104,0.097,1.852
104,Pakistan,2021,105,4.934,0.637,0.423,0.322,0.418,0.097,0.252,2.784
105,Morocco,2021,106,4.918,0.792,0.219,0.558,0.477,0.088,0.034,2.749
106,Venezuela,2021,107,4.892,0.852,0.897,0.574,0.284,0.072,0.078,2.135
107,Georgia,2021,108,4.891,1.03,0.47,0.498,0.488,0.181,0.032,2.191
108,Algeria,2021,109,4.887,0.946,0.765,0.552,0.119,0.12,0.144,2.242
109,Ukraine,2021,110,4.875,0.979,0.958,0.517,0.417,0.01,0.181,1.813
110,Iraq,2021,111,4.854,0.91,0.638,0.381,0.302,0.041,0.153,2.429
111,Gabon,2021,112,4.852,1.037,0.707,0.362,0.424,0.064,0.058,2.201
112,Burkina Faso,2021,113,4.834,0.364,0.472,0.179,0.381,0.122,0.182,3.133
113,Cambodia,2021,114,4.83,0.603,0.68,0.426,0.702,0.061,0.21,2.148
114,Mozambique,2021,115,4.794,0.183,0.634,0.196,0.608,0.163,0.228,2.783
115,Nigeria,2021,116,4.759,0.663,0.625,0.051,0.433,0.039,0.212,2.736
116,Mali,2021,117,4.723,0.387,0.59,0.11,0.384,0.072,0.164,3.016
117,Iran,2021,118,4.721,1.03,0.557,0.561,0.275,0.144,0.33,1.823
118,Uganda,2021,119,4.636,0.364,0.718,0.24,0.398,0.054,0.267,2.596
119,Liberia,2021,120,4.625,0.228,0.58,0.253,0.43,0.057,0.221,2.857
120,Kenya,2021,121,4.607,0.603,0.508,0.385,0.483,0.073,0.375,2.18
121,Tunisia,2021,122,4.596,0.919,0.515,0.59,0.334,0.044,0.057,2.138
122,Lebanon,2021,123,4.584,1.045,0.868,0.595,0.175,0.026,0.14,1.736
123,Namibia,2021,124,4.574,0.882,0.801,0.262,0.411,0.059,0.091,2.068
124,Palestinian Territories,2021,125,4.517,0.646,0.819,0.434,0.33,0.075,0.082,2.131
125,Myanmar,2021,126,4.426,0.666,0.713,0.341,0.601,0.178,0.52,1.407
126,Jordan,2021,127,4.395,0.89,0.685,0.583,0.455,0.15,0.079,1.553
127,Chad,2021,128,4.355,0.255,0.353,0.0,0.24,0.084,0.215,3.209
128,Sri Lanka,2021,129,4.325,0.99,0.82,0.593,0.559,0.049,0.239,1.075
129,Swaziland,2021,130,4.308,0.849,0.693,0.074,0.323,0.147,0.067,2.155
130,Comoros,2021,131,4.289,0.488,0.367,0.279,0.202,0.101,0.241,2.61
131,Egypt,2021,132,4.283,0.954,0.647,0.426,0.446,0.092,0.069,1.648
132,Ethiopia,2021,133,4.275,0.37,0.679,0.331,0.451,0.114,0.241,2.089
133,Mauritania,2021,134,4.227,0.666,0.749,0.273,0.218,0.133,0.119,2.069
134,Madagascar,2021,135,4.208,0.266,0.503,0.341,0.207,0.087,0.185,2.62
135,Togo,2021,136,4.107,0.254,0.239,0.203,0.289,0.107,0.209,2.806
136,Zambia,2021,137,4.073,0.528,0.552,0.231,0.487,0.074,0.227,1.975
137,Sierra Leone,2021,138,3.849,0.279,0.377,0.1,0.408,0.047,0.243,2.396
138,India,2021,139,3.819,0.741,0.316,0.383,0.622,0.106,0.246,1.405
139,Burundi,2021,140,3.775,0.0,0.062,0.155,0.298,0.212,0.172,2.876
140,Yemen,2021,141,3.658,0.329,0.831,0.272,0.268,0.089,0.092,1.776
141,Tanzania,2021,142,3.623,0.433,0.54,0.3,0.549,0.231,0.307,1.263
142,Haiti,2021,143,3.615,0.294,0.173,0.227,0.257,0.139,0.463,2.06
143,Malawi,2021,144,3.6,0.113,0.168,0.298,0.484,0.134,0.213,2.19
144,Lesotho,2021,145,3.512,0.451,0.731,0.007,0.405,0.015,0.103,1.8
145,Botswana,2021,146,3.467,1.099,0.724,0.34,0.539,0.088,0.027,0.648
146,Rwanda,2021,147,3.415,0.364,0.202,0.407,0.627,0.493,0.227,1.095
147,Zimbabwe,2021,148,3.145,0.457,0.649,0.243,0.359,0.075,0.157,1.205
148,Afghanistan,2021,149,2.523,0.37,0.0,0.126,0.0,0.01,0.122,1.895
