,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
0,Finland,2021,1,7.842,1.446,1.106,0.741,0.691,0.481,0.124,3.253
1,Denmark,2021,2,7.62,1.502,1.108,0.763,0.686,0.485,0.208,2.868
2,Switzerland,2021,3,7.571,1.566,1.079,0.816,0.653,0.413,0.204,2.839
3,Iceland,2021,4,7.554,1.482,1.172,0.772,0.698,0.17,0.293,2.967
4,Netherlands,2021,5,7.464,1.501,1.079,0.753,0.647,0.384,0.302,2.798
5,Norway,2021,6,7.392,1.543,1.108,0.782,0.703,0.427,0.249,2.58
6,Sweden,2021,7,7.363,1.478,1.062,0.763,0.685,0.448,0.244,2.683
7,Luxembourg,2021,8,7.324,1.751,1.003,0.76,0.639,0.353,0.166,2.653
8,New Zealand,2021,9,7.277,1.4,1.094,0.785,0.665,0.445,0.276,2.612
9,Austria,2021,10,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2.784
10,Australia,2021,11,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2.598
11,Israel,2021,12,7.157,1.376,1.074,0.788,0.509,0.119,0.208,3.083
12,Germany,2021,13,7.155,1.48,0.993,0.757,0.6,0.306,0.195,2.824
13,Canada,2021,14,7.103,1.447,1.044,0.798,0.648,0.335,0.246,2.585
14,Ireland,2021,15,7.085,1.644,1.092,0.753,0.606,0.367,0.238,2.384
15,Costa Rica,2021,16,7.069,1.134,0.966,0.722,0.673,0.083,0.105,3.387
16,United Kingdom,2021,17,7.064,1.423,1.062,0.757,0.58,0.306,0.34,2.596
17,Czech Republic,2021,18,6.965,1.37,1.09,0.703,0.58,0.046,0.052,3.124
18,United States,2021,19,6.951,1.533,1.03,0.621,0.554,0.154,0.252,2.807
19,Belgium,2021,20,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2.862
20,France,2021,21,6.69,1.421,1.081,0.804,0.536,0.235,0.092,2.521
21,Bahrain,2021,22,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2.631
22,Malta,2021,23,6.602,1.411,1.055,0.747,0.664,0.183,0.275,2.268
23,Taiwan Province of China,2021,24,6.584,1.48,0.982,0.665,0.49,0.139,0.142,2.687
24,United Arab Emirates,2021,25,6.561,1.555,0.86,0.594,0.67,0.223,0.236,2.422
25,Saudi Arabia,2021,26,6.494,1.435,0.964,0.571,0.603,0.163,0.09,2.668
26,Spain,2021,27,6.491,1.375,1.057,0.826,0.462,0.124,0.135,2.513
27,Italy,2021,28,6.483,1.393,0.94,0.798,0.379,0.047,0.133,2.794
28,Slovenia,2021,29,6.461,1.36,1.093,0.722,0.69,0.085,0.122,2.388
29,Guatemala,2021,30,6.435,0.845,0.79,0.519,0.638,0.105,0.163,3.375
30,Uruguay,2021,31,6.431,1.164,1.042,0.649,0.625,0.223,0.128,2.6
31,Singapore,2021,32,6.377,1.695,1.019,0.897,0.664,0.547,0.176,1.379
32,Kosovo,2021,33,6.372,0.937,0.807,0.483,0.593,0.014,0.356,3.182
33,Slovakia,2021,34,6.331,1.304,1.066,0.653,0.468,0.018,0.107,2.714
34,Brazil,2021,35,6.33,1.028,0.944,0.571,0.514,0.117,0.142,3.015
